cik_str,ticker,title,sicDescription,exchanges,entityType,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists
0001799191,TOIIW,"Oncology Institute, Inc.",Services-Offices & Clinics of  Doctors of  Medicine,"['Nasdaq', 'OTC', 'Nasdaq']",operating,08 Industrial Applications and Services,0,1
0001796026,DNOPF,Dino Polska S.A./ADR,,['OTC'],other,International Corp Fin,0,0
0001877557,WELWF,Integrated Wellness Acquisition Corp,Retail-Nonstore Retailers,"['OTC', 'OTC', 'OTC']",operating,07 Trade & Services,0,1
0001877557,WELUF,Integrated Wellness Acquisition Corp,Retail-Nonstore Retailers,"['OTC', 'OTC', 'OTC']",operating,07 Trade & Services,0,1
0001870144,CDIOW,"Cardio Diagnostics Holdings, Inc.",In Vitro & In Vivo Diagnostic Substances,"['Nasdaq', 'Nasdaq']",operating,03 Life Sciences,0,1
0001872066,MIBE,MIAMI BREEZE CAR CARE INC,"Services-Automotive Repair, Services & Parking",['OTC'],operating,07 Trade & Services,0,0
0001869601,EMCWF,Embrace Change Acquisition Corp.,Blank Checks,"['OTC', 'OTC', 'OTC', 'OTC']",operating,05 Real Estate & Construction,0,1
0001869601,EMCRF,Embrace Change Acquisition Corp.,Blank Checks,"['OTC', 'OTC', 'OTC', 'OTC']",operating,05 Real Estate & Construction,0,1
0001869601,EMCUF,Embrace Change Acquisition Corp.,Blank Checks,"['OTC', 'OTC', 'OTC', 'OTC']",operating,05 Real Estate & Construction,0,1
0001868640,RDZNW,Roadzen Inc.,"Insurance Agents, Brokers & Service","['Nasdaq', 'Nasdaq']",operating,02 Finance,0,1
0001867729,WRDIF,WeRide Inc.,Services-Computer Integrated Systems Design,"['Nasdaq', 'OTC']",other,06 Technology,0,0
0001865782,BTSGU,"BrightSpring Health Services, Inc.",Services-Home Health Care Services,"['Nasdaq', 'Nasdaq']",operating,08 Industrial Applications and Services,0,1
0001862463,AMODW,"ALPHA MODUS HOLDINGS, INC.",Patent Owners & Lessors,"['Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001863006,VLN-WT,Valens Semiconductor Ltd.,Semiconductors & Related Devices,"['NYSE', 'NYSE']",other,04 Manufacturing,0,0
0001953984,BCGWW,"Binah Capital Group, Inc.",Finance Services,"['Nasdaq', 'Nasdaq']",operating,02 Finance,0,1
0001939937,LMMY,LAMY,Services-Educational Services,['OTC'],operating,07 Trade & Services,0,0
0001938338,GLTK,GlobalTech Corp,Telephone Communications (No Radiotelephone),['OTC'],operating,06 Technology,0,1
0001901336,ALCYU,Alchemy Investments Acquisition Corp 1,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001901336,ALCYW,Alchemy Investments Acquisition Corp 1,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001901799,BTMWW,Bitcoin Depot Inc.,Finance Services,"['Nasdaq', 'Nasdaq']",operating,09 Crypto Assets,1,1
0001921158,FUFUW,Bitfufu Inc.,Finance Services,"['Nasdaq', 'Nasdaq']",other,09 Crypto Assets,0,0
0001923734,AKPPS,Ark7 Properties Plus LLC,Real Estate,[],other,05 Real Estate & Construction,0,0
0001926599,TDACU,Translational Development Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001926599,TDACW,Translational Development Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001852353,DC-WT,Dakota Gold Corp.,Metal Mining,"['NYSE', 'NYSE']",operating,01 Energy & Transportation,0,1
0001860484,ACQC,Relativity Acquisition Corp,Blank Checks,['OTC'],operating,05 Real Estate & Construction,0,1
0001854275,ZCARW,"Zoomcar Holdings, Inc.",Services-Auto Rental & Leasing (No Drivers),"['OTC', 'OTC']",operating,07 Trade & Services,0,1
0001849820,KITTW,"Nauticus Robotics, Inc.","General Industrial Machinery & Equipment, NEC","['Nasdaq', 'Nasdaq']",operating,06 Technology,0,1
0001848334,OKMN,"OKMIN RESOURCES, INC.",Crude Petroleum & Natural Gas,['OTC'],operating,01 Energy & Transportation,0,1
0001841425,VGASW,"Verde Clean Fuels, Inc.",Industrial Organic Chemicals,"['Nasdaq', 'Nasdaq']",operating,08 Industrial Applications and Services,0,1
0001838163,BNAIW,Brand Engagement Network Inc.,Services-Computer Integrated Systems Design,"['Nasdaq', 'Nasdaq']",operating,06 Technology,0,1
0001820190,SCLXW,Scilex Holding Co,"Biological Products, (No Diagnostic Substances)","['Nasdaq', 'Nasdaq']",operating,03 Life Sciences,1,1
0001823466,NOTE-WT,"FiscalNote Holdings, Inc.","Services-Business Services, NEC","['NYSE', 'NYSE']",operating,07 Trade & Services,0,1
0001823584,AENTW,ALLIANCE ENTERTAINMENT HOLDING CORP,"Wholesale-Durable Goods, NEC","['Nasdaq', 'Nasdaq']",operating,07 Trade & Services,0,1
0001824502,ACHR-WT,Archer Aviation Inc.,Aircraft,"['NYSE', 'NYSE']",operating,04 Manufacturing,0,1
0001824920,IONQ-WT,"IonQ, Inc.",Services-Computer Integrated Systems Design,"['NYSE', 'NYSE']",operating,06 Technology,0,1
0001826681,PDYNW,Palladyne AI Corp.,Services-Prepackaged Software,"['Nasdaq', 'Nasdaq']",operating,06 Technology,0,1
0001826667,TLSIW,"TriSalus Life Sciences, Inc.",Surgical & Medical Instruments & Apparatus,"['Nasdaq', 'Nasdaq']",operating,08 Industrial Applications and Services,0,1
0001831979,SDSTW,Stardust Power Inc.,Primary Smelting & Refining of  Nonferrous Metals,"['Nasdaq', 'Nasdaq']",operating,04 Manufacturing,0,1
0001819493,XOSWW,"Xos, Inc.",Motor Vehicle Parts & Accessories,"['Nasdaq', 'Nasdaq']",operating,04 Manufacturing,0,1
0002109556,MNMXF,Minimax Group Inc./ADR,,[],other,International Corp Fin,0,0
0001812173,RBOTW,Vicarious Surgical Inc.,"Orthopedic, Prosthetic & Surgical Appliances & Supplies","['NYSE', 'OTC']",operating,08 Industrial Applications and Services,0,1
0001819175,PRIAF,Prime Impact Acquisition I,Blank Checks,['OTC'],operating,05 Real Estate & Construction,0,1
0001823587,SKYH-WT,Sky Harbour Group Corp,Real Estate,"['NYSE', 'NYSE']",operating,05 Real Estate & Construction,0,1
0001825024,OPADW,Offerpad Solutions Inc.,Real Estate Agents & Managers (For Others),"['NYSE', 'OTC']",operating,05 Real Estate & Construction,0,1
0001827899,CPTKW,Crown PropTech Acquisitions,Wholesale-Hardware,['OTC'],operating,07 Trade & Services,0,1
0001823652,EVEX-WT,"Eve Holding, Inc.",Aircraft,"['NYSE', 'NYSE']",operating,04 Manufacturing,0,1
0002106126,EURBF,Eurobank SA/ADR,,['OTC'],other,International Corp Fin,0,0
0002098324,SWBGF,Shawbrook Group plc/ADR,,['OTC'],other,,0,0
0002093912,PTORU,Praetorian Acquisition Corp.,Blank Checks,"[None, 'Nasdaq']",other,05 Real Estate & Construction,0,1
0002092258,AWTRF,Air Water Inc./ADR,,"['OTC', 'OTC']",other,,0,0
0002089982,HACQU,HCM IV Acquisition Corp.,Blank Checks,"[None, 'Nasdaq']",other,05 Real Estate & Construction,0,1
0002091222,SAAQU,Space Asset Acquisition Corp.,Blank Checks,"[None, 'Nasdaq']",other,05 Real Estate & Construction,0,1
0002088749,KBONW,Karbon Capital Partners Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002088749,KBONU,Karbon Capital Partners Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002089499,GLVHF,GLENVEAGH PROPERTIES PLC/ADR,,"['OTC', 'OTC']",other,,0,0
0002082866,PNFP-PB,"Pinnacle Financial Partners, Inc.",National Commercial Banks,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",operating,02 Finance,0,1
0002082866,PNFP-PC,"Pinnacle Financial Partners, Inc.",National Commercial Banks,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",operating,02 Finance,0,1
0002082866,PNFP-PA,"Pinnacle Financial Partners, Inc.",National Commercial Banks,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",operating,02 Finance,0,1
0002079253,APXTU,Apex Treasury Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,1,1
0002079253,APXTW,Apex Treasury Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,1,1
0002086524,KTWOR,K2 Capital Acquisition Corp,Blank Checks,"[None, 'Nasdaq']",other,05 Real Estate & Construction,0,1
0002086524,KTWOU,K2 Capital Acquisition Corp,Blank Checks,"[None, 'Nasdaq']",other,05 Real Estate & Construction,0,1
0002081125,DNMXU,Dynamix Corp III,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002081125,DNMXW,Dynamix Corp III,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002088295,BBCQU,Bleichroeder Acquisition Corp. II,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",other,05 Real Estate & Construction,0,1
0002088295,BBCQW,Bleichroeder Acquisition Corp. II,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",other,05 Real Estate & Construction,0,1
0002073655,TPZEF,Topaz Energy Corp./ADR,,"['OTC', 'OTC']",other,,0,0
0002073638,FINGF,Finning International Inc./ADR,,"['OTC', 'OTC']",other,,0,0
0002068440,LPUGF,Laopu Gold Co. Ltd./ADR,,"['OTC', 'OTC']",other,International Corp Fin,0,0
0001985406,NPEHF,"Nippon Express Holdings, Inc./ADR",,"['OTC', 'OTC']",other,International Corp Fin,0,0
0001992243,TE-WT,T1 Energy Inc.,Semiconductors & Related Devices,"['NYSE', 'NYSE']",operating,04 Manufacturing,0,1
0002078653,RNGTU,Range Capital Acquisition Corp II,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002078653,RNGTW,Range Capital Acquisition Corp II,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002077785,IRAB-WT,Iris Acquisition Corp II,Blank Checks,"[None, 'NYSE']",other,05 Real Estate & Construction,0,1
0002077785,IRAB-UN,Iris Acquisition Corp II,Blank Checks,"[None, 'NYSE']",other,05 Real Estate & Construction,0,1
0002075877,BKPKF,Bank Pekao S.A./ADR,,"['OTC', 'OTC']",other,,0,0
0002076163,BRRWW,"ProCap Financial, Inc.",Finance Services,"['Nasdaq', 'Nasdaq']",operating,09 Crypto Assets,0,1
0002075310,BLZRW,Trailblazer Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002075310,BLZRU,Trailblazer Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001979005,AFJKU,"Aimei Health Technology Co., Ltd.",Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001979005,AFJKR,"Aimei Health Technology Co., Ltd.",Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001980845,ENGNW,enGene Holdings Inc.,"Biological Products, (No Diagnostic Substances)","['Nasdaq', 'Nasdaq']",operating,03 Life Sciences,0,1
0001981462,LDTDF,LeddarTech Holdings Inc.,Services-Prepackaged Software,"['OTC', 'OTC']",other,06 Technology,0,0
0001981662,NIVFW,NewGenIvf Group Ltd,"Services-Misc Health & Allied Services, NEC","['Nasdaq', 'Nasdaq']",other,08 Industrial Applications and Services,0,1
0001969796,THQQF,Embracer Group AB/ADR,,"['OTC', 'OTC']",other,,0,0
0001949257,RDPTF,Radiopharm Theranostics Ltd,Pharmaceutical Preparations,"['Nasdaq', 'OTC']",other,03 Life Sciences,0,0
0001951378,QLUNF,Qilun Group Inc.,Wholesale-Miscellaneous Nondurable Goods,['OTC'],other,07 Trade & Services,0,0
0001865861,CTSWF,Cactus Acquisition Corp. 1 Ltd,Blank Checks,"['OTC', 'OTC', 'OTC']",operating,05 Real Estate & Construction,0,1
0001865861,CTSUF,Cactus Acquisition Corp. 1 Ltd,Blank Checks,"['OTC', 'OTC', 'OTC']",operating,05 Real Estate & Construction,0,1
0002065485,JXADF,JX Advanced Metals Corporation/ADR,,['OTC'],other,,0,0
0002061473,PMTRU,Perimeter Acquisition Corp. I,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002061473,PMTRW,Perimeter Acquisition Corp. I,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002063413,SPHXF,SM Prime Holdings Inc./ADR,,"['OTC', 'OTC']",other,,0,0
0002060337,JENA-UN,JENA ACQUISITION Corp II,Blank Checks,"['NYSE', 'NYSE', 'NYSE']",operating,05 Real Estate & Construction,0,1
0002060337,JENA-RI,JENA ACQUISITION Corp II,Blank Checks,"['NYSE', 'NYSE', 'NYSE']",operating,05 Real Estate & Construction,0,1
0002059033,FIGXW,FIGX Capital Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002059033,FIGXU,FIGX Capital Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002059165,SSEAU,STARRY SEA ACQUISITION CORP,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002059165,SSEAR,STARRY SEA ACQUISITION CORP,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002048270,SMFRF,"Sumitomo Forestry Co., Ltd./ADR",,"['OTC', 'OTC']",other,International Corp Fin,0,0
0002057043,WENNW,WEN Acquisition Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002057043,WENNU,WEN Acquisition Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002046098,ALEGF,ALLEGRO.EU SA/ADR,,"['OTC', 'OTC']",other,,0,0
0002043508,LKSPU,Lake Superior Acquisition Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002043508,LKSPR,Lake Superior Acquisition Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002041918,LTMGF,Lottomatica Group S.p.A./ADR,,"['OTC', 'OTC']",other,International Corp Fin,0,0
0002040381,PACHW,Pioneer Acquisition I Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002040381,PACHU,Pioneer Acquisition I Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002036973,UYSCR,UY Scuti Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002036973,UYSCU,UY Scuti Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002035016,RIBBU,Ribbon Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002035016,RIBBR,Ribbon Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002029586,BLNH,"Blue Line Holdings, Inc.",Bottled & Canned Soft Drinks & Carbonated Waters,['OTC'],operating,04 Manufacturing,0,1
0002028935,FACTW,FACT II Acquisition Corp.,"Aircraft Parts & Auxiliary Equipment, NEC","['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,04 Manufacturing,0,1
0002028935,FACTU,FACT II Acquisition Corp.,"Aircraft Parts & Auxiliary Equipment, NEC","['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,04 Manufacturing,0,1
0002028614,DMAAU,Drugs Made In America Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002028614,DMAAR,Drugs Made In America Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002028699,ETHMW,Dynamix Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0002028699,ETHMU,Dynamix Corp,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001899287,AMPX-WT,"Amprius Technologies, Inc.","Miscellaneous Electrical Machinery, Equipment & Supplies","['NYSE', 'NYSE']",operating,04 Manufacturing,0,1
0001904616,BAKR,Baker Global Asset Management Inc.,"Security & Commodity Brokers, Dealers, Exchanges & Services",['OTC'],other,09 Crypto Assets,0,0
0001915380,DMYYU,"dMY Squared Technology Group, Inc.",Blank Checks,"['OTC', 'OTC', 'OTC']",operating,05 Real Estate & Construction,0,1
0001915380,DMYYW,"dMY Squared Technology Group, Inc.",Blank Checks,"['OTC', 'OTC', 'OTC']",operating,05 Real Estate & Construction,0,1
0001913510,VFSWW,VinFast Auto Ltd.,Motor Vehicles & Passenger Car Bodies,"['Nasdaq', 'Nasdaq']",other,04 Manufacturing,0,0
0001920294,RZLVW,REZOLVE AI PLC,"Services-Computer Programming, Data Processing, Etc.","['Nasdaq', 'Nasdaq']",other,06 Technology,0,0
0001936804,SDAWW,SunCar Technology Group Inc.,"Services-Automotive Repair, Services & Parking","['Nasdaq', 'Nasdaq']",other,07 Trade & Services,0,0
0001896511,DAZSF,ZKGC New Energy Ltd,"Miscellaneous Electrical Machinery, Equipment & Supplies",['OTC'],other,04 Manufacturing,0,1
0001890361,ASPCU,ASPAC III Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001890361,ASPCR,ASPAC III Acquisition Corp.,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001889123,FLDDW,"Fold Holdings, Inc.",Finance Services,"['Nasdaq', 'Nasdaq']",operating,09 Crypto Assets,0,1
0001888740,LSEB,LSEB Creative Corp.,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",['OTC'],operating,04 Manufacturing,0,0
0001879848,PEVMD,PHOENIX MOTOR INC.,Truck & Bus Bodies,['OTC'],operating,04 Manufacturing,0,1
0001884130,BKLPF,PT Bukalapak.com Tbk/ADR,,['OTC'],other,International Corp Fin,0,0
0001879248,ADSEW,Ads-Tec Energy Public Ltd Co,Miscellaneous Transportation Equipment,"['Nasdaq', 'Nasdaq']",other,04 Manufacturing,0,0
0001872964,MTEKW,Maris Tech Ltd.,"Communications Equipment, NEC","['Nasdaq', 'Nasdaq']",other,04 Manufacturing,0,0
0001866782,CDROW,"Codere Online Luxembourg, S.A.",Services-Miscellaneous Amusement & Recreation,"['Nasdaq', 'Nasdaq']",other,07 Trade & Services,0,0
0001872228,TVAIR,Thayer Ventures Acquisition Corp II,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001872228,TVAIU,Thayer Ventures Acquisition Corp II,Blank Checks,"['Nasdaq', 'Nasdaq', 'Nasdaq']",operating,05 Real Estate & Construction,0,1
0001451448,GMBLP,"ESPORTS ENTERTAINMENT GROUP, INC.",Services-Amusement & Recreation Services,"['OTC', 'OTC', 'OTC']",operating,07 Trade & Services,0,1
0001451448,GMBLZ,"ESPORTS ENTERTAINMENT GROUP, INC.",Services-Amusement & Recreation Services,"['OTC', 'OTC', 'OTC']",operating,07 Trade & Services,0,1
0001464423,PMTU,PennyMac Mortgage Investment Trust,Real Estate Investment Trusts,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE']",operating,05 Real Estate & Construction,0,1
